speaker,birth_date,gender,constituency_name,backbencher,ONS ID,vulnerability,under_30,over_65
Bill Esterson,1966-10-27,M,Sefton Central,False,E14000916,29.98905508938344,29.719868173258,24.13841807909604
Stuart C. McDonald,1986-08-24,M,"Cumbernauld, Kilsyth and Kirkintilloch East",False,S14000012,9.727830629890722,36.45474187468395,15.05194685790466
Margot James,1957-08-28,F,Stourbridge,False,E14000976,16.23846398642198,34.97400693148494,18.19403714565005
Claire Perry,1964-04-03,F,Devizes,False,E14000665,41.77653035004843,38.13847549161066,16.19326380014017
Gareth Johnson,1969-10-12,M,Dartford,True,E14000659,24.31764532310416,38.37209302325581,15.04941860465116
Stephen Timms,1955-07-29,M,East Ham,True,E14000679,70.42360461215192,52.3951895997117,6.540222367560497
Martin John Docherty,1971-01-21,M,West Dunbartonshire,True,S14000059,5.190209377764671,35.56547619047619,16.44179894179894
Gareth Snell,1986-01-01,M,Stoke-on-Trent Central,True,E14000972,11.75742947654246,42.28556988833269,14.45778783211398
Gavin Newlands,1980-02-02,M,Paisley and Renfrewshire North,False,S14000052,5.605491794486753,34.81178543992047,16.79583352162321
Mark Pawsey,1957-01-16,M,Rugby,True,E14000905,15.99657160666978,35.75179442562844,17.45124237433842
Layla Moran,1982-09-12,F,Oxford West and Abingdon,False,E14000874,1.359546817727424,37.80346275416332,16.67877529839128
Joseph Johnson,1971-12-23,M,Orpington,True,E14000872,38.56641762945641,33.89461329240353,19.59213154716896
Alex Norris,1984-02-04,M,Nottingham North,True,E14000866,29.12393329679793,43.15919501775696,13.50352565752226
Emma Hardy,1979-09-16,F,Kingston upon Hull West and Hessle,True,E14000773,23.21712715174309,38.02565677565677,15.66693441693442
Rebecca Long Bailey,1979-09-22,F,Salford and Eccles,False,E14000911,40.17724017724017,42.99651760543917,13.36852578630258
Martin Vickers,1950-09-13,M,Cleethorpes,True,E14000643,21.73731293370119,33.21188550425779,19.91495090444798
Ruth George,1969-11-27,F,High Peak,True,E14000748,4.31173750765974,33.88196981032434,17.2391409585002
Paul Blomfield,1953-08-25,M,Sheffield Central,False,E14000919,57.95684775570733,58.16852295201416,8.761840324763194
Mike Amesbury,1969-05-07,M,Weaver Vale,True,E14001024,7.760851955031316,34.85293617214352,15.87472634671446
Alan Whitehead,1950-09-15,M,"Southampton, Test",False,E14000956,24.52508368334648,46.42536926053513,11.68703694964844
Alan Mak,1983-11-19,M,Havant,True,E14000736,34.45178563717234,34.43265306122449,20.86204081632653
Kate Hollern,1955-04-12,F,Blackburn,False,E14000570,42.86646322214037,44.92754974544506,12.37248941685471
Victoria Atkins,1976-03-22,F,Louth and Horncastle,True,E14000798,37.21930605825169,28.36558806832843,26.42204675646385
Justin Tomlinson,1976-11-05,M,North Swindon,True,E14000851,15.17910801114531,37.69250118784762,14.13678414712541
Ruth Smeeth,1979-06-29,F,Stoke-on-Trent North,True,E14000973,5.645431484229168,38.4624928914853,16.31701390683968
Luke Graham,1985-06-17,M,Ochil and South Perthshire,True,S14000050,6.201078127307635,33.12504974926371,18.14853140173525
John Spellar,1947-08-05,M,Warley,True,E14001016,40.99636870118888,42.89432869491654,14.09963015585514
Will Quince,1982-12-27,M,Colchester,True,E14000644,10.6022971332524,42.16646717613479,13.29067305036369
John Cryer,1964-04-11,M,Leyton and Wanstead,True,E14000790,48.9615143048968,44.86144572531027,9.435320541739056
Dennis Skinner,1932-02-11,M,Bolsover,True,E14000577,11.36739826737462,34.19177966191398,18.51851851851852
Jeremy Hunt,1966-11-01,M,South West Surrey,False,E14000953,35.72610537463595,33.64814940511398,18.96556739617373
Sarah Wollaston,1962-02-17,F,Totnes,True,E14001001,26.80923015715138,28.24551021147598,26.33365137260112
Rosena Allin-Khan,1977-01-01,F,Tooting,False,E14000998,26.57337848756253,43.11628777247638,8.491907568528394
Bob Blackman,1956-04-26,M,Harrow East,True,E14000731,3.455600354017111,40.21935023756517,14.7714459189869
Lisa Cameron,1972-04-08,F,"East Kilbride, Strathaven and Lesmahagow",False,S14000019,7.145761709363795,34.49844242961075,17.08749266001174
Helen Jones,1954-12-24,F,Warrington North,True,E14001017,19.74977842817981,36.75338451682018,15.78565952128386
Justine Greening,1969-04-30,F,Putney,False,E14000887,3.313856783383802,42.34549659514326,10.08394363784316
Adrian Bailey,1945-12-11,M,West Bromwich West,True,E14001030,12.35662436970134,41.21142907828941,14.32515439456265
Trudy Harrison,1976-04-19,F,Copeland,True,E14000647,3.948563840939269,32.00603280958327,19.64371808977513
Vernon Coaker,1953-06-17,M,Gedling,True,E14000710,9.082465848844858,34.47418758713108,17.61857931764884
Mary Creagh,1967-12-02,F,Wakefield,True,E14001009,4.701408694149166,35.97618697014957,16.01594547405179
Angela Rayner,1980-03-28,F,Ashton-under-Lyne,False,E14000537,28.39866240917205,37.98351089695416,15.56739313027718
Lucy Frazer,1972-05-17,F,South East Cambridgeshire,True,E14000937,25.64680486333767,34.88617255769783,16.67552426837662
Justin Madders,1972-11-22,M,Ellesmere Port and Neston,False,E14000688,22.36007774004201,33.98225812018915,18.58180019099559
Lucy Powell,1974-10-10,F,Manchester Central,True,E14000807,63.24416733708769,56.35990054047615,7.60984470616262
Keith Simpson,1949-03-29,M,Broadland,True,E14000603,28.25749048614461,30.2538135059041,22.08891877127369
Ross Thomson,1987-09-21,M,Aberdeen South,True,S14000002,10.6803317375767,37.61172569932509,15.04447568054766
Thelma Walker,1957-04-07,F,Colne Valley,True,E14000645,1.514399205561072,35.36780798710635,16.06761842840267
Edward Leigh,1950-07-20,M,Gainsborough,True,E14000707,33.10257656781721,31.32066420261887,20.99674004295729
Hugh Gaffney,1963-08-10,M,"Coatbridge, Chryston and Bellshill",True,S14000011,3.521314387211368,36.88435874533705,14.37293122471497
Mark Prisk,1962-06-12,M,Hertford and Stortford,True,E14000744,31.72923056407521,35.64862104187947,14.83820786985409
Lesley Laird,1958-11-15,F,Kirkcaldy and Cowdenbeath,False,S14000041,0.5606910137899682,34.19074041605215,18.13756329995152
Laura Pidcock,1988-06-18,F,North West Durham,True,E14000856,18.35413970189136,32.94108707215666,18.6237366884139
Emma Little Pengelly,1979-12-31,F,Belfast South,True,N06000003,4.566983182702208,41.184,13.5
Ranil Jayawardena,1986-09-03,M,North East Hampshire,True,E14000844,48.192687455533,33.63340236655601,16.59190958382333
Damien Moore,1980-04-26,M,Southport,True,E14000958,6.076403369755609,31.7445038227061,23.16969274515661
Martin Whitfield,1965-01-01,M,East Lothian,True,S14000020,5.51737714306167,34.01125184271488,17.81341195583501
Rory Stewart,1973-01-03,M,Penrith and The Border,False,E14000877,34.23714224230687,29.80459208597949,21.69027845627748
Julie Cooper,1960-06-20,F,Burnley,False,E14000609,15.76818068999752,37.81228821833469,16.23496709128293
Marcus Jones,1974-04-05,M,Nuneaton,False,E14000868,10.28719039659626,37.28015282260721,15.48646334233581
Peter Aldous,1961-08-26,M,Waveney,True,E14001022,17.49439951399172,32.86394597654039,22.86921560590979
Jeff Smith,1963-01-26,M,"Manchester, Withington",False,E14000809,55.73486063952837,48.89630286658871,9.88186912873443
James Brokenshire,1968-01-07,M,Old Bexley and Sidcup,False,E14000869,32.19266475167561,35.97507195246495,18.66470151332281
Laurence Robertson,1958-03-29,M,Tewkesbury,True,E14000990,38.20662108184957,32.2395907636497,20.07764892901543
Hugo Swire,1959-11-30,M,East Devon,True,E14000678,13.30860190122884,29.29882072459449,26.7274043169143
John Baron,1959-06-21,M,Basildon and Billericay,True,E14000544,29.83213856360479,36.97191343227001,16.76051155685886
Deidre Brock,1961-12-08,F,Edinburgh North and Leith,False,S14000023,2.873461592870278,39.26805609184144,11.74858499006432
Andrew Murrison,1961-04-24,M,South West Wiltshire,True,E14000954,33.47153476648828,34.27162670548317,19.43968919459166
Owen Smith,1970-05-02,M,Pontypridd,False,W07000075,28.69604451797263,37.64993971335878,16.16427798978235
Victoria Prentis,1971-03-24,F,Banbury,True,E14000539,20.14067119326857,37.66874703208737,14.46730208262669
Sylvia Hermon,1955-08-11,F,North Down,True,N06000013,3.082812300625239,33.976,18.7
Sheryll Murray,1956-02-04,F,South East Cornwall,True,E14000938,32.77280925898091,29.95822738830367,21.7228932074101
Stephen Pound,1948-07-03,M,Ealing North,False,E14000675,37.49904790920862,42.39206717471536,11.09670814171421
Chloe Smith,1982-05-17,F,Norwich North,False,E14000863,1.104695500599194,35.28711420459749,19.12263027749794
Gregory Campbell,1953-02-15,M,East Londonderry,False,N06000006,21.55008530343651,39.123,15.0
Patricia Gibson,1968-05-12,F,North Ayrshire and Arran,False,S14000048,7.659224590474986,32.90582631000366,19.79270271685075
Maria Caulfield,1973-08-06,F,Lewes,True,E14000786,10.16386182462356,30.28279208998549,24.24482946298984
Ian Lucas,1960-09-18,M,Wrexham,False,W07000044,5.220563091302862,36.87536223689233,17.22763319715582
Jo Stevens,1966-09-06,F,Cardiff Central,True,W07000050,42.59915277330493,55.42072942324937,10.39762988524013
Ian Austin,1965-03-06,M,Dudley North,True,E14000671,0.0565407350295553,37.56063926715753,18.38754955797976
Marcus Fysh,1970-11-08,M,Yeovil,True,E14001060,24.78452629452562,34.01852354775573,20.78701665995523
Philip Davies,1972-01-05,M,Shipley,True,E14000925,8.766738458657178,33.65974615449273,17.71560057157266
Lindsay Hoyle,1957-06-10,M,Chorley,True,E14000637,13.50253442139699,34.69430750431889,16.73829688619222
Jonathan Edwards,1976-04-26,M,Carmarthen East and Dinefwr,False,W07000067,9.524970143069536,31.58657771021592,22.35171578977001
Catherine West,1966-09-14,F,Hornsey and Wood Green,False,E14000752,49.34422808341226,39.73458297862184,9.417689694404444
Giles Watling,1953-02-18,M,Clacton,True,E14000642,35.85457016649677,28.80539837626964,30.20771096193723
John Woodcock,1978-10-14,M,Barrow and Furness,True,E14000543,0.4391678924143727,32.99371805552428,19.71269673293855
Madeleine Moon,1950-03-27,F,Bridgend,True,W07000073,10.86579586175009,34.53983198327344,18.65461420004257
Nicholas Soames,1948-02-12,M,Mid Sussex,True,E14000817,31.92010643821391,34.2103024172583,17.66290732740284
Gloria De Piero,1972-12-21,F,Ashfield,True,E14000535,0.8821234972896206,35.06780226465451,17.48042467178209
Kevin Barron,1946-10-26,M,Rother Valley,True,E14000903,7.844325897187197,34.13136309825808,18.82927447995941
Phil Wilson,1959-05-31,M,Sedgefield,True,E14000915,14.56805558894953,33.80142687277051,18.40071343638526
Bim Afolami,1986-02-11,M,Hitchin and Harpenden,True,E14000749,20.46680162632054,34.9975403335107,16.38439065527523
Paul Williams,1972-08-23,M,Stockton South,True,E14000971,1.649821640903686,37.4684917199755,15.20732699318116
Colin Clark,1969-05-20,M,Gordon,True,S14000037,4.85610505727857,33.49919903884661,15.38045654785743
Derek Twigg,1959-07-09,M,Halton,True,E14000725,51.30457611373642,37.65987683562292,15.65450813200695
Gill Furniss,1957-03-14,F,"Sheffield, Brightside and Hillsborough",False,E14000921,45.72008598041557,43.02261548082398,13.99117034879922
Alex Burghart,1977-09-07,M,Brentwood and Ongar,True,E14000594,45.36382536382536,33.00128016179524,19.35303419860796
Stephen Hepburn,1959-12-06,M,Jarrow,True,E14000765,40.12504939218557,34.63007446552967,17.82969012731204
Derek Thomas,1972-07-20,M,St Ives,True,E14000964,0.60906570881974,30.04102648500594,23.02890662654143
Jackie Doyle-Price,1969-08-05,F,Thurrock,False,E14000995,0.6855439642324889,41.67304632058836,11.29499806459937
Rosie Cooper,1950-09-05,F,West Lancashire,True,E14001033,21.4914780562246,36.06232264734115,18.49742080445584
Virendra Sharma,1947-04-05,M,"Ealing, Southall",True,E14000676,48.93122161922693,43.33643132168353,10.35204722559824
Yvonne Fovargue,1956-11-29,F,Makerfield,True,E14000805,28.8538981100718,35.65609661717684,16.45485835319036
John Grogan,1957-03-20,M,Keighley,True,E14000766,0.4621572494875662,36.68450849202264,17.34534225424601
Paul Girvan,1963-07-06,M,South Antrim,True,N06000014,7.431086402594395,39.364,13.5
Chris Elmore,1983-12-23,M,Ogmore,False,W07000074,37.28362541662187,36.18373518156761,16.05207524953839
Gerald Jones,1970-08-21,M,Merthyr Tydfil and Rhymney,False,W07000071,48.69280071545685,37.75857484711513,16.74155809625099
Naz Shah,1973-11-13,F,Bradford West,True,E14000589,48.10665963802495,51.8015702198482,9.369036519375047
Tommy Sheppard,1959-03-06,M,Edinburgh East,False,S14000022,7.869402384945891,43.85399836330446,13.28031558847598
Douglas Chapman,1955-01-05,M,Dunfermline and West Fife,False,S14000017,1.654577533816899,34.84000895054822,15.17931609674729
Vince Cable,1943-05-09,M,Twickenham,False,E14001005,14.72620304721677,35.9494483164293,13.1967344610613
Nick Gibb,1960-09-03,M,Bognor Regis and Littlehampton,False,E14000576,34.06683284000624,31.98216045431918,23.92693507258744
Mike Kane,1969-01-09,M,Wythenshawe and Sale East,False,E14001059,32.59608253718972,39.55879284508431,13.73603444678389
Karen Bradley,1970-03-12,F,Staffordshire Moorlands,False,E14000966,24.2526032919046,30.31745417489003,21.18597061517227
Michael Fabricant,1950-06-12,M,Lichfield,True,E14000791,34.71526791719602,31.90514599128892,20.06452653653815
Tom Watson,1967-01-08,M,West Bromwich East,False,E14001029,19.72735178269988,39.68874247415654,16.48869703510167
Philip Hollobone,1964-11-07,M,Kettering,True,E14000769,21.3788357218039,36.14656325220648,16.04065258090398
Matthew Hancock,1978-10-02,M,West Suffolk,False,E14001034,32.97452943222665,37.67395100269856,16.87655431504312
Damian Collins,1974-02-04,M,Folkestone and Hythe,True,E14000704,26.17579617834395,33.41948046200823,20.76824357215559
Paul Farrelly,1962-03-02,M,Newcastle-under-Lyme,True,E14000834,0.0684275352401806,37.69745348248918,17.6536061611108
Brendan O'Hara,1963-04-27,M,Argyll and Bute,False,S14000005,2.762695292184152,30.66715060227298,21.93135675884128
Tracey Crouch,1975-07-24,F,Chatham and Aylesford,False,E14000626,23.29694809534417,40.10341176591524,13.40035567068595
Julian Knight,1972-01-05,M,Solihull,True,E14000931,36.24973567350391,33.31714178734428,20.7707175890788
John Glen,1974-04-01,M,Salisbury,False,E14000912,32.51298981448482,33.39963715053881,19.9042602024088
Lisa Nandy,1979-08-09,F,Wigan,True,E14001039,33.71124479407682,36.3886216847602,16.77889240071458
Liz Twist,1956-07-01,F,Blaydon,True,E14000574,28.02803427335496,32.59591531586639,19.81287026653527
Louise Haigh,1987-07-22,F,"Sheffield, Heeley",False,E14000923,31.26667571112016,36.44212868850705,17.80112554297819
Robert Halfon,1969-03-22,M,Harlow,True,E14000729,15.67809838112652,37.8568405976368,15.55938934279483
Luke Hall,1986-07-08,M,Thornbury and Yate,True,E14000994,23.81337541921484,33.18621421508333,18.93977763307045
Jeremy Wright,1972-10-24,M,Kenilworth and Southam,False,E14000767,35.22144930924963,31.66048068147246,21.01734104046243
Mims Davies,1975-06-04,F,Eastleigh,True,E14000685,24.7538407821229,36.06969729094186,15.64526854466428
Henry Bellingham,1955-03-29,M,North West Norfolk,True,E14000859,28.24773104423183,32.00874647828098,23.3947268828056
Robert Buckland,1968-09-22,M,South Swindon,False,E14000947,4.805835657584209,37.99781966037773,13.43560632102064
Simon Hoare,1969-06-28,M,North Dorset,True,E14000839,46.25834469887302,32.23695881291022,21.73305089167388
Imran Hussain,1978-07-07,M,Bradford East,False,E14000587,45.02213844197975,48.32542611140397,10.34088912317695
Melanie Onn,1979-06-19,F,Great Grimsby,True,E14000716,7.221080487598885,39.86945140124429,15.47204877440704
Esther McVey,1967-10-24,F,Tatton,True,E14000987,30.10627901294894,30.76749676699847,20.5001957597257
Nick Smith,1960-01-14,M,Blaenau Gwent,False,W07000072,36.76815711462451,36.08302059758788,17.87177356977111
Stephen Hammond,1962-02-04,M,Wimbledon,True,E14001040,10.91099639017195,37.14819233362726,12.31910368795062
Ellie Reeves,1980-12-11,F,Lewisham West and Penge,True,E14000788,43.54086773441612,39.25542252790278,10.16104837111885
Graham Jones,1966-03-03,M,Hyndburn,True,E14000758,12.86447502322906,38.57547516595671,15.75669773174476
Jessica Morden,1968-05-29,F,Newport East,False,W07000055,21.73546985334058,39.65105530734864,15.8039336517229
Dan Carden,1986-10-28,M,"Liverpool, Walton",True,E14000794,77.14055501575942,39.43140754930559,14.55004571378815
Chris Law,1969-10-21,M,Dundee West,False,S14000016,13.60498487473175,42.47192522358954,16.21500459507319
Nic Dakin,1955-07-10,M,Scunthorpe,True,E14000914,8.534401273568479,38.0854528100612,16.7637976531357
Neil Gray,1986-03-16,M,Airdrie and Shotts,False,S14000003,0.513130887848008,37.11689673248296,14.90593511561535
Matthew Pennycook,1982-10-29,M,Greenwich and Woolwich,False,E14000718,39.00500885022408,45.03054302660085,8.360265653301132
Hannah Bardell,1983-06-01,F,Livingston,False,S14000044,7.385963241596039,37.96596286858392,12.81215871860211
Helen Goodman,1958-01-02,F,Bishop Auckland,True,E14000569,1.159862295233474,33.20748654510403,19.07324742090587
John McDonnell,1951-09-08,M,Hayes and Harlington,True,E14000737,37.89590393707376,45.93173708152869,9.737317606893482
Philip Hammond,1955-12-04,M,Runnymede and Weybridge,False,E14000907,34.97451994807108,36.18574737809229,16.69908416494805
David Drew,1952-04-13,M,Stroud,True,E14000980,1.076532531026702,32.31345676043921,19.02400416766852
Nicky Morgan,1972-10-01,F,Loughborough,True,E14000797,7.883947698899313,42.97871482299323,14.83811770874295
John Mann,1960-01-10,M,Bassetlaw,True,E14000546,9.286124401913876,33.86636868064119,18.51302404438964
Robert Syms,1956-08-15,M,Poole,True,E14000881,28.50351053159478,32.87940194452027,21.03273765775603
Caroline Spelman,1958-05-04,F,Meriden,True,E14000812,35.13350291894662,36.05607424645596,17.6817452738348
Iain Stewart,1950-08-28,M,Milton Keynes South,True,E14000822,2.579555665726768,40.53832770443149,10.89409004668446
Tonia Antoniazzi,1971-10-05,F,Gower,True,W07000046,7.172634720028085,32.26589907349106,21.01543324894948
Tom Tugendhat,1973-06-27,M,Tonbridge and Malling,True,E14000997,41.30950498181243,35.00884061631724,17.3700429401364
Gillian Keegan,1968-03-13,F,Chichester,True,E14000633,37.75326279248306,31.19646655297296,24.47831835514592
Heidi Allen,1975-01-18,F,South Cambridgeshire,True,E14000934,24.5702667734582,34.67447430491681,16.77306546941452
Faisal Rashid,1972-09-06,M,Warrington South,True,E14001018,4.111621904992338,35.75573517731159,16.05756202401533
Gerard Killen,1986-05-01,M,Rutherglen and Hamilton West,True,S14000056,0.5209152382450071,35.0594359412633,15.16102089969699
Wera Hobhouse,1960-02-08,F,Bath,False,E14000547,11.48377468083819,42.87466660664649,15.91847758808899
Maggie Throup,1957-01-27,F,Erewash,True,E14000695,9.10789256945421,35.58001063264221,17.09728867623604
James Gray,1954-11-07,M,North Wiltshire,True,E14000860,42.59673034670242,33.74884267100241,17.37348418128853
Nick Hurd,1962-05-13,M,"Ruislip, Northwood and Pinner",False,E14000906,26.18860289985389,33.61005591361134,18.81322292884886
Sarah Newton,1961-07-19,F,Truro and Falmouth,False,E14001003,6.694087948170248,33.86419379766824,20.92530994859389
David Amess,1952-03-26,M,Southend West,True,E14000957,21.19048123582887,33.64835065928626,19.08554970523379
Ben Wallace,1970-05-15,M,Wyre and Preston North,False,E14001057,23.26102647874482,30.3332429010671,22.82058238379454
Brandon Lewis,1971-06-20,M,Great Yarmouth,False,E14000717,18.0605264350111,34.90650410682895,20.94122968430359
Afzal Khan,1958-04-05,M,"Manchester, Gorton",False,E14000808,69.04881074140971,53.55492005251894,8.242054713214266
Rachel Maclean,1965-10-03,F,Redditch,True,E14000892,16.28874189766166,37.00725938646475,14.74402578141552
Carolyn Harris,1960-09-18,F,Swansea East,False,W07000048,37.45271480986376,38.62620443031688,15.58185159431807
Oliver Letwin,1956-05-19,M,West Dorset,True,E14001031,32.03295412597738,28.42342342342343,26.5723863398282
Conor McGinn,1984-07-31,M,St Helens North,True,E14000962,36.64927720919119,35.23487846826499,17.54802213058704
Alec Shelbrooke,1976-01-10,M,Elmet and Rothwell,True,E14000689,16.46736757246985,31.7657569035263,20.55750178171708
John Hayes,1958-06-23,M,South Holland and The Deepings,False,E14000939,49.4822617509689,31.6939675539455,21.64218774610175
Kelvin Hopkins,1941-08-22,M,Luton North,True,E14000800,30.80948908240745,42.87345750755455,13.82558339312966
Gavin Shuker,1981-10-10,M,Luton South,True,E14000801,30.1844666507706,47.45144309312035,10.40206934107823
Andy McDonald,1958-03-08,M,Middlesbrough,False,E14000819,38.92864158037994,44.23693602514249,13.93703723432589
Laura Smith,1985-03-16,F,Crewe and Nantwich,True,E14000653,0.0872299053192069,37.12932665864959,16.70162485667142
Paul Masterton,1985-11-02,M,East Renfrewshire,True,S14000021,8.7684692396442,34.64570406518427,17.97425309691523
Karl Turner,1971-04-15,M,Kingston upon Hull East,False,E14000771,28.37491129428462,38.81679845981488,15.41490368404451
Lee Rowley,1980-09-11,M,North East Derbyshire,True,E14000843,5.676855895196507,31.36131756013897,20.91340868112054
Bob Seely,1966-05-01,M,Isle of Wight,True,E14000762,28.28851085540891,30.8176328065671,23.83394206776842
Eddie Hughes,1968-10-03,M,Walsall North,True,E14001011,6.823547930111758,40.36515477534673,15.5307952875008
Bill Grant,1951-08-14,M,"Ayr, Carrick and Cumnock",True,S14000006,6.001471160919043,32.42380074591675,20.55450765207699
Neil O'Brien,1978-11-06,M,Harborough,True,E14000728,21.57887426646759,34.91784387355705,18.93862629393416
Alister Jack,1963-07-07,M,Dumfries and Galloway,True,S14000013,10.93625845462121,31.4411110195335,21.79901920382428
Jesse Norman,1962-06-23,M,Hereford and South Herefordshire,False,E14000743,29.7381348546074,34.46436630697904,19.3451770401674
Penny Mordaunt,1973-03-04,F,Portsmouth North,False,E14000883,21.10781614064817,39.24044136515268,14.84218629715166
Chris Leslie,1972-06-28,M,Nottingham East,True,E14000865,49.81310550003814,48.75329802018086,9.500312179009487
David Tredinnick,1950-01-19,M,Bosworth,True,E14000583,32.67162797322319,32.78423312508903,18.36043222563644
Paul Scully,1968-04-29,M,Sutton and Cheam,True,E14000984,24.43332691937656,35.60491014932929,15.54247869737619
Bridget Phillipson,1983-12-19,F,Houghton and Sunderland South,True,E14000754,29.75168756027001,34.2107077998207,18.44095538033609
Steve Brine,1974-01-28,M,Winchester,False,E14001041,17.49422632794457,35.94442103532265,19.287175112792
Steve Reed,1963-11-12,M,Croydon North,False,E14000655,54.28274323667041,43.92255446767222,9.732880538649262
Daniel Kawczynski,1972-01-24,M,Shrewsbury and Atcham,True,E14000926,11.38601103035926,34.42988025238812,19.16645504092516
Lucy Allan,1964-10-02,F,Telford,True,E14000989,1.611242894866401,40.06684447592382,13.26043891587999
Sandy Martin,1957-05-02,M,Ipswich,True,E14000761,1.625046443866476,40.57961707475941,14.29410199719274
Sharon Hodgson,1966-04-01,F,Washington and Sunderland West,False,E14001020,31.89234485138266,36.31839673207777,15.31274331689593
Paul Beresford,1946-04-06,M,Mole Valley,True,E14000824,42.55015336882558,31.46170277693012,20.50235181463281
Edward Argar,1977-12-09,M,Charnwood,True,E14000625,29.61613745106568,33.38434584371174,19.32494617300629
Barbara Keeley,1952-03-26,F,Worsley and Eccles South,False,E14001054,18.35809123176022,38.72439893143366,15.46790253379746
Rishi Sunak,1980-05-12,M,Richmond (Yorks),True,E14000895,40.53110694052233,34.55606191927382,19.80783030913039
Karin Smyth,1964-09-08,F,Bristol South,True,E14000601,29.39759479239454,40.2086340986355,14.59693568667629
David T. C. Davies,1970-06-26,M,Monmouth,True,W07000054,16.49977882334017,30.93523461478748,22.20032723060203
Peter Dowd,1957-06-20,M,Bootle,False,E14000581,71.98536430162265,38.16392243699784,15.80716919420207
Ian Liddell-Grainger,1959-02-23,M,Bridgwater and West Somerset,True,E14000595,26.51243413939279,32.65852512916862,21.99436355096289
Andrew Percy,1977-09-18,M,Brigg and Goole,True,E14000596,27.4385778014515,32.74975203561461,19.0874910617489
Michael Ellis,1967-10-13,M,Northampton North,False,E14000861,1.998613106146911,39.97122702803044,15.16846111007982
Cat Smith,1985-06-16,F,Lancaster and Fleetwood,False,E14000776,14.48389832351215,42.69013271783035,17.12175418349683
Frank Field,1942-07-16,M,Birkenhead,True,E14000559,58.43391429814717,38.46517597784233,15.69614267378234
Chris Grayling,1962-04-01,M,Epsom and Ewell,False,E14000694,34.5476327067796,34.46260448957263,17.76250755779917
Peter Kyle,1970-09-09,M,Hove,True,E14000755,32.56649767344955,35.47762974547132,14.60607701021523
Nick Herbert,1963-04-07,M,Arundel and South Downs,True,E14000534,39.6358868826341,29.02834465954537,23.88271458973753
Paul Maynard,1975-12-16,M,Blackpool North and Cleveleys,False,E14000572,4.933304070036823,32.37999304481299,22.16306316029308
David Simpson,1959-02-16,M,Upper Bann,False,N06000017,15.59171251316868,40.127,13.6
Julia Dockerill,1984-06-01,F,Hornchurch and Upminster,True,E14000751,31.62280310464805,35.0212939735138,19.26180891818836
Mark Field,1964-10-06,M,Cities of London and Westminster,False,E14000639,8.14404718787189,37.6809090909091,11.94181818181818
Caroline Dinenage,1971-10-28,F,Gosport,False,E14000713,34.7830480386411,35.60326373592282,18.61136102751838
Jack Lopresti,1969-08-23,M,Filton and Bradley Stoke,True,E14000702,8.26397380773934,38.95370800099298,14.86654218518958
Mary Glindon,1957-01-13,F,North Tyneside,False,E14000853,37.16179757958837,35.11985260970972,16.43636933811568
Fabian Hamilton,1955-04-12,M,Leeds North East,False,E14000779,32.05909545463122,37.76844172850284,15.20296813618507
Rehman Chishti,1978-10-04,M,Gillingham and Rainham,True,E14000711,19.29688139477777,39.47687949003338,14.81432763330972
Alistair Burt,1955-05-25,M,North East Bedfordshire,False,E14000841,32.48520710059172,34.14657891662448,16.34701507068032
Simon Hart,1963-08-15,M,Carmarthen West and South Pembrokeshire,True,W07000066,7.365130488324728,33.36393493496082,21.89092037549458
Jon Trickett,1950-07-02,M,Hemsworth,False,E14000740,22.14434964304371,35.36956220190143,18.1190580351903
Neil Parish,1956-05-26,M,Tiverton and Honiton,True,E14000996,34.24889734497968,30.30665440049065,24.70918941020137
Caroline Nokes,1972-06-26,F,Romsey and Southampton North,False,E14000901,35.9998404085541,37.47506799637353,17.99297370806891
Chris Skidmore,1981-05-17,M,Kingswood,False,E14000774,15.38745614574998,36.06262186030508,17.12237641931414
Patrick McLoughlin,1957-11-30,M,Derbyshire Dales,False,E14000664,28.90197897964536,28.73285625309827,22.4257369110114
Khalid Mahmood,1961-07-13,M,"Birmingham, Perry Barr",False,E14000566,41.59332081362989,46.00803062844336,12.27565599028854
Scott Mann,1977-06-24,M,North Cornwall,True,E14000837,14.13316582914573,30.97119755144926,23.02939631346932
Elizabeth Truss,1975-07-26,F,South West Norfolk,False,E14000952,34.93589743589743,34.12098572380042,20.90560719698067
Christopher Chope,1947-05-19,M,Christchurch,True,E14000638,49.71165619939171,25.88520981865161,32.1713957605627
Jim McMahon,1959-08-21,M,Oldham West and Royton,False,E14000871,37.56005940421071,42.89681920948001,13.97150541825836
Daniel Poulter,1978-10-30,M,Central Suffolk and North Ipswich,True,E14000624,30.40301464864482,32.71744074392278,20.19204528225603
Oliver Heald,1954-12-15,M,North East Hertfordshire,True,E14000845,30.2896725440806,33.94727452091598,17.72348508700124
Clive Lewis,1971-09-11,M,Norwich South,True,E14000864,30.36663486438599,43.10644460535843,15.53429192096824
Mark Pritchard,1966-11-22,M,The Wrekin,True,E14000992,19.31223875774893,37.37899322362053,16.68023409310921
Matthew Offord,1969-09-03,M,Hendon,True,E14000741,2.053049889878388,44.40208392229717,11.60050078752877
Richard Burden,1954-09-01,M,"Birmingham, Northfield",True,E14000565,10.52358618201497,40.16288379247106,15.13971327719824
Mary Robinson,1944-05-21,F,Cheadle,True,E14000627,8.258814043832002,32.37972820056469,20.53327181042154
Stephen Kinnock,1970-01-01,M,Aberavon,True,W07000049,50.381748226524,35.16701193050368,18.31612054496242
